Data Table for Daily Case Trends - The United States
Date generated: Mon Sep 20 2021 17:29:18 GMT-0400 (EDT)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 19 2021,28741,118878,87
United States,Sep 18 2021,61228,130097,575
United States,Sep 17 2021,151551,141166,1030
United States,Sep 16 2021,160287,143314,1313
United States,Sep 15 2021,163419,146907,1604
United States,Sep 14 2021,149935,147474,1430
United States,Sep 13 2021,116985,141137,164
United States,Sep 12 2021,107274,138246,79
United States,Sep 11 2021,138716,138669,527
United States,Sep 10 2021,166587,139053,946
United States,Sep  9 2021,185433,141214,1046
United States,Sep  8 2021,167391,140510,1826
United States,Sep  7 2021,105573,143675,1075
United States,Sep  6 2021,96751,154136,823
United States,Sep  5 2021,110237,158128,277
United States,Sep  4 2021,141401,158487,417
United States,Sep  3 2021,181717,159186,884
United States,Sep  2 2021,180505,159213,1214
United States,Sep  1 2021,189541,159929,1159
United States,Aug 31 2021,178803,159785,1102
United States,Aug 30 2021,124698,158951,406
United States,Aug 29 2021,112746,158155,179
United States,Aug 28 2021,146293,158996,361
United States,Aug 27 2021,181908,158587,783
United States,Aug 26 2021,185519,156368,585
United States,Aug 25 2021,188533,153853,637
United States,Aug 24 2021,172960,152149,667
United States,Aug 23 2021,119128,150197,341
United States,Aug 22 2021,118631,149161,70
United States,Aug 21 2021,143434,147661,376
United States,Aug 20 2021,166375,146873,2281
United States,Aug 19 2021,167916,144411,670
United States,Aug 18 2021,176601,142791,1280
United States,Aug 17 2021,159296,139535,536
United States,Aug 16 2021,111876,137153,251
United States,Aug 15 2021,108133,134914,74
United States,Aug 14 2021,137915,132896,167
United States,Aug 13 2021,149141,130581,607
United States,Aug 12 2021,156580,127288,631
United States,Aug 11 2021,153809,123706,549
United States,Aug 10 2021,142619,120314,487
United States,Aug  9 2021,96204,116676,385
United States,Aug  8 2021,94007,114567,42
United States,Aug  7 2021,121707,111781,99
United States,Aug  6 2021,126096,107670,8113
United States,Aug  5 2021,131502,105056,665
United States,Aug  4 2021,130064,100603,640
United States,Aug  3 2021,117158,95722,748
United States,Aug  2 2021,81441,91470,131
United States,Aug  1 2021,74501,88150,44
United States,Jul 31 2021,92928,84927,164
United States,Jul 30 2021,107800,80422,691
United States,Jul 29 2021,100333,75018,391
United States,Jul 28 2021,95894,70843,436
United States,Jul 27 2021,87399,66505,424
United States,Jul 26 2021,58198,61610,54
United States,Jul 25 2021,51943,58669,44
United States,Jul 24 2021,61389,56242,138
United States,Jul 23 2021,69971,52867,533
United States,Jul 22 2021,71107,49134,457
United States,Jul 21 2021,65529,45084,301
United States,Jul 20 2021,53138,41592,309
United States,Jul 19 2021,37609,39110,301
United States,Jul 18 2021,34952,37226,45
United States,Jul 17 2021,37766,35170,71
United States,Jul 16 2021,43839,33241,179
United States,Jul 15 2021,42760,31155,263
United States,Jul 14 2021,41086,29417,240
United States,Jul 13 2021,35764,27061,156
United States,Jul 12 2021,24416,24354,85
United States,Jul 11 2021,20559,22451,83
United States,Jul 10 2021,24266,21290,123
United States,Jul  9 2021,29237,20002,686
United States,Jul  8 2021,30596,18291,101
United States,Jul  7 2021,24595,16615,203
United States,Jul  6 2021,16810,15642,71
United States,Jul  5 2021,11099,15582,34
United States,Jul  4 2021,12431,15545,27
United States,Jul  3 2021,15252,15135,111
United States,Jul  2 2021,17256,14820,129
United States,Jul  1 2021,18867,14406,122
United States,Jun 30 2021,17781,13926,136
United States,Jun 29 2021,16392,13468,122
United States,Jun 28 2021,10840,13128,44
United States,Jun 27 2021,9562,12799,58
United States,Jun 26 2021,13047,12721,0
United States,Jun 25 2021,14359,12607,0
United States,Jun 24 2021,15507,12236,0
United States,Jun 23 2021,14575,11967,0
United States,Jun 22 2021,14009,11833,0
United States,Jun 21 2021,8537,11721,0
United States,Jun 20 2021,9014,11706,0
United States,Jun 19 2021,12251,11635,0
United States,Jun 18 2021,11759,11614,0
United States,Jun 17 2021,13629,11972,0
United States,Jun 16 2021,13636,12362,0
United States,Jun 15 2021,13222,13195,0
United States,Jun 14 2021,8437,13384,0
United States,Jun 13 2021,8517,13646,0
United States,Jun 12 2021,12104,13971,0
United States,Jun 11 2021,14262,14329,0
United States,Jun 10 2021,16361,14936,1
United States,Jun  9 2021,19467,15312,464
United States,Jun  8 2021,14546,14954,0
United States,Jun  7 2021,10269,14212,0
United States,Jun  6 2021,10788,14034,0
United States,Jun  5 2021,14612,14163,0
United States,Jun  4 2021,18511,14318,0
United States,Jun  3 2021,18992,14594,0
United States,Jun  2 2021,16962,15000,0
United States,Jun  1 2021,9355,15967,0
United States,May 31 2021,9021,18088,1
United States,May 30 2021,11691,19083,0
United States,May 29 2021,15699,19552,0
United States,May 28 2021,20442,20390,0
United States,May 27 2021,21833,21448,0
United States,May 26 2021,23728,22266,0
United States,May 25 2021,24206,22927,0
United States,May 24 2021,15988,23590,0
United States,May 23 2021,14969,24135,0
United States,May 22 2021,21567,24928,0
United States,May 21 2021,27851,25925,0
United States,May 20 2021,27554,26782,0
United States,May 19 2021,28356,27910,0
United States,May 18 2021,28851,28910,0
United States,May 17 2021,19803,29780,0
United States,May 16 2021,20515,30502,0
United States,May 15 2021,28550,31304,42
United States,May 14 2021,33851,32365,0
United States,May 13 2021,35445,33773,0
United States,May 12 2021,35357,34877,0
United States,May 11 2021,34945,36351,0
United States,May 10 2021,24855,37727,0
United States,May  9 2021,26129,38965,0
United States,May  8 2021,35978,40261,0
United States,May  7 2021,43706,41860,0
United States,May  6 2021,43170,43457,0
United States,May  5 2021,45676,45477,0
United States,May  4 2021,44577,46867,0
United States,May  3 2021,33523,48066,0
United States,May  2 2021,35202,48948,0
United States,May  1 2021,47170,49567,0
United States,Apr 30 2021,54886,50229,0
United States,Apr 29 2021,57306,51505,0
United States,Apr 28 2021,55411,52025,0
United States,Apr 27 2021,52964,53287,0
United States,Apr 26 2021,39699,54506,-9005
United States,Apr 25 2021,39533,53795,0
United States,Apr 24 2021,51804,54955,0
United States,Apr 23 2021,63820,58060,0
United States,Apr 22 2021,60946,59086,0
United States,Apr 21 2021,64243,61014,0
United States,Apr 20 2021,61497,62400,0
United States,Apr 19 2021,34722,64322,0
United States,Apr 18 2021,47653,68046,0
United States,Apr 17 2021,73545,68365,0
United States,Apr 16 2021,71002,67241,0
United States,Apr 15 2021,74436,68428,0
United States,Apr 14 2021,73948,68637,0
United States,Apr 13 2021,74949,69395,0
United States,Apr 12 2021,60789,68233,0
United States,Apr 11 2021,49889,67669,0
United States,Apr 10 2021,65674,66805,0
United States,Apr  9 2021,79315,66314,72
United States,Apr  8 2021,75897,64897,0
United States,Apr  7 2021,79257,64586,0
United States,Apr  6 2021,66811,63703,0
United States,Apr  5 2021,56843,63209,0
United States,Apr  4 2021,43840,63309,0
United States,Apr  3 2021,62238,64400,0
United States,Apr  2 2021,69393,64384,0
United States,Apr  1 2021,73725,65451,0
United States,Mar 31 2021,73071,64412,0
United States,Mar 30 2021,63358,63784,0
United States,Mar 29 2021,57540,63224,0
United States,Mar 28 2021,51476,62030,0
United States,Mar 27 2021,62126,60865,0
United States,Mar 26 2021,76863,60064,0
United States,Mar 25 2021,66453,57841,0
United States,Mar 24 2021,68672,57296,0
United States,Mar 23 2021,59440,56342,0
United States,Mar 22 2021,49185,55598,0
United States,Mar 21 2021,43319,54785,0
United States,Mar 20 2021,56517,54614,0
United States,Mar 19 2021,61305,54026,0
United States,Mar 18 2021,62638,54153,0
United States,Mar 17 2021,61996,53669,0
United States,Mar 16 2021,54231,53221,0
United States,Mar 15 2021,43495,53213,0
United States,Mar 14 2021,42122,53025,0
United States,Mar 13 2021,52395,52977,0
United States,Mar 12 2021,62194,53415,0
United States,Mar 11 2021,59253,53452,0
United States,Mar 10 2021,58858,54216,0
United States,Mar  9 2021,54176,55163,891
United States,Mar  8 2021,42178,55207,0
United States,Mar  7 2021,41788,56529,0
United States,Mar  6 2021,55464,57526,0
United States,Mar  5 2021,62453,59034,0
United States,Mar  4 2021,64598,60307,0
United States,Mar  3 2021,65488,61018,0
United States,Mar  2 2021,54481,61979,0
United States,Mar  1 2021,51434,64431,0
United States,Feb 28 2021,48770,64963,0
United States,Feb 27 2021,66020,65413,0
United States,Feb 26 2021,71364,65147,0
United States,Feb 25 2021,69575,64946,0
United States,Feb 24 2021,72215,64934,0
United States,Feb 23 2021,71645,64142,0
United States,Feb 22 2021,55155,62034,0
United States,Feb 21 2021,51921,62072,0
United States,Feb 20 2021,64160,63546,0
United States,Feb 19 2021,69952,65979,0
United States,Feb 18 2021,69492,69530,0
United States,Feb 17 2021,66672,73550,0
United States,Feb 16 2021,56891,78294,0
United States,Feb 15 2021,55420,83386,0
United States,Feb 14 2021,62235,86790,0
United States,Feb 13 2021,81195,89592,0
United States,Feb 12 2021,94808,93151,0
United States,Feb 11 2021,97631,97007,0
United States,Feb 10 2021,99879,100648,0
United States,Feb  9 2021,92538,103004,0
United States,Feb  8 2021,79245,106270,0
United States,Feb  7 2021,81848,112936,0
United States,Feb  6 2021,106113,115670,0
United States,Feb  5 2021,121796,119173,0
United States,Feb  4 2021,123121,124597,0
United States,Feb  3 2021,116369,129503,0
United States,Feb  2 2021,115403,136345,0
United States,Feb  1 2021,125905,140862,0
United States,Jan 31 2021,100984,140273,0
United States,Jan 30 2021,130637,145073,0
United States,Jan 29 2021,159764,149777,0
United States,Jan 28 2021,157459,154205,0
United States,Jan 27 2021,164266,159893,0
United States,Jan 26 2021,147023,164066,0
United States,Jan 25 2021,121783,164114,0
United States,Jan 24 2021,134585,166883,0
United States,Jan 23 2021,163561,170947,0
United States,Jan 22 2021,190764,176851,0
United States,Jan 21 2021,197269,182414,0
United States,Jan 20 2021,193483,186856,0
United States,Jan 19 2021,147354,193548,584
United States,Jan 18 2021,141165,202522,0
United States,Jan 17 2021,163034,209637,0
United States,Jan 16 2021,204894,216003,0
United States,Jan 15 2021,229702,221784,0
United States,Jan 14 2021,228361,230881,0
United States,Jan 13 2021,240329,239858,0
United States,Jan 12 2021,210169,247388,0
United States,Jan 11 2021,190972,253013,0
United States,Jan 10 2021,207598,254009,0
United States,Jan  9 2021,245360,249959,0
United States,Jan  8 2021,293382,243895,0
United States,Jan  7 2021,291202,233020,0
United States,Jan  6 2021,293035,231304,0
United States,Jan  5 2021,249543,228941,0
