Time Period,4/1/05,7/1/05,10/1/05,1/1/06,4/1/06,7/1/06,10/1/06,1/1/07,4/1/07,7/1/07,10/1/07,1/1/08,4/1/08,7/1/08,10/1/08,1/1/09,4/1/09,7/1/09,10/1/09,1/1/10,4/1/10,7/1/10,10/1/10,1/1/11,4/1/11,7/1/11,10/1/11,1/1/12,4/1/12,7/1/12,10/1/12,1/1/13,4/1/13,7/1/13,10/1/13,1/1/14,4/1/14,7/1/14,10/1/14,1/1/15,4/1/15,7/1/15,10/1/15,1/1/16,4/1/16,7/1/16,10/1/16,1/1/17,4/1/17,7/1/17,10/1/17,1/1/18,4/1/18,7/1/18,10/1/18,1/1/19,4/1/19,7/1/19,10/1/19,1/1/20,4/1/20,7/1/20,10/1/20,1/1/21,4/1/21
"Agriculture, forestry, fishing, and hunting",456.60,459.90,461.20,462.10,458.50,472.50,458.20,457.80,464.80,455.20,448.90,450.00,455.80,444.60,433.30,447.50,458.00,456.00,471.40,462.20,460.30,468.80,466.30,459.50,454.30,444.30,448.90,460.90,458.50,458.80,448.70,444.60,464.50,480.10,486.40,485.30,489.80,493.80,495.90,501.10,499.60,494.60,504.40,509.90,527.10,524.30,524.70,535.80,538.10,536.30,534.10,531.80,532.60,537.20,533.00,535.80,528.50,531.90,534.30,541.00,553.00,532.00,552.00,556.60,548.80
Mining,447.10,457.40,444.50,452.70,478.90,477.50,484.70,485.90,483.20,493.20,482.60,487.40,496.00,514.50,512.80,523.30,524.20,487.50,479.40,476.00,490.70,504.70,519.00,525.10,526.90,550.10,564.60,594.20,612.00,612.60,611.00,616.70,619.20,639.60,658.00,647.00,680.70,730.00,744.70,747.10,729.20,683.60,665.20,631.50,574.30,554.70,561.60,568.70,611.80,618.40,620.80,651.60,668.20,696.60,719.00,722.00,724.30,740.20,742.80,733.60,729.80,596.90,577.90,592.10,592.80
Utilities,444.10,447.60,459.80,445.80,426.50,440.30,441.40,424.80,448.10,454.90,452.30,466.70,488.00,510.40,490.20,475.70,453.50,427.50,417.60,446.40,472.20,480.50,493.50,488.20,470.30,467.00,466.40,457.20,447.10,466.20,468.50,464.20,466.30,477.50,469.00,478.90,481.40,482.40,482.10,498.50,503.10,497.40,484.70,472.50,469.60,469.10,473.00,459.00,444.10,464.70,455.10,462.80,467.60,478.10,462.00,456.90,452.40,451.20,440.70,451.30,452.60,450.30,449.60,442.80,452.50
Construction,1558.70,1567.20,1566.50,1574.60,1586.20,1556.10,1515.40,1468.10,1455.90,1466.00,1452.40,1423.40,1380.90,1368.40,1336.20,1278.60,1210.90,1173.10,1164.10,1107.20,1056.60,1092.80,1074.50,1079.50,1025.20,1050.40,1049.80,1064.10,1075.90,1067.20,1068.50,1086.80,1084.80,1110.90,1148.50,1155.40,1159.10,1181.10,1185.30,1206.50,1226.80,1286.30,1301.20,1305.90,1335.60,1343.40,1356.90,1385.10,1390.60,1381.80,1363.30,1376.00,1389.40,1400.20,1388.80,1352.40,1370.50,1366.00,1371.50,1383.80,1421.70,1370.40,1385.30,1425.70,1444.90
Manufacturing,5952.00,5988.70,5978.30,6095.50,6114.60,6095.30,6089.00,6123.10,6184.30,6281.90,6325.60,6321.40,6206.70,6107.20,5850.20,5574.40,5247.60,5113.90,5210.20,5317.00,5388.00,5465.90,5580.40,5576.70,5635.00,5617.10,5667.40,5727.40,5752.00,5767.10,5755.20,5810.80,5875.70,5932.00,5933.50,6003.40,5948.70,5986.20,6017.60,5980.30,5987.50,6015.50,6055.40,6006.90,6027.70,6015.10,6017.70,6016.60,6020.20,5994.50,6019.90,6107.80,6129.30,6169.10,6241.50,6279.20,6307.30,6293.40,6322.90,6268.10,6203.80,5616.20,6208.90,6297.70,6239.80
Wholesale trade,1343.20,1346.40,1349.40,1392.80,1399.00,1402.20,1412.40,1415.60,1413.60,1457.90,1468.60,1505.10,1527.60,1544.80,1493.10,1346.90,1209.20,1188.00,1220.40,1293.00,1347.40,1416.70,1464.00,1501.70,1546.50,1536.90,1574.40,1615.40,1635.80,1658.40,1660.40,1665.30,1695.90,1695.00,1703.40,1724.60,1721.00,1767.60,1789.00,1793.50,1778.60,1795.00,1796.60,1773.90,1732.50,1757.10,1776.90,1791.20,1813.70,1806.00,1824.20,1870.60,1865.80,1880.80,1889.30,1877.50,1862.10,1837.80,1828.20,1823.10,1814.30,1603.40,1789.10,1830.70,1894.60
Retail trade,1404.10,1431.30,1451.30,1417.70,1457.70,1463.80,1438.80,1458.60,1462.40,1440.30,1446.80,1444.90,1423.10,1401.40,1357.90,1252.70,1249.60,1259.50,1283.70,1301.60,1333.00,1358.00,1363.00,1380.90,1375.90,1368.90,1355.30,1374.80,1398.90,1380.40,1410.50,1424.30,1457.60,1455.90,1458.80,1468.10,1474.10,1514.00,1530.40,1532.30,1562.30,1591.50,1602.60,1606.20,1627.90,1643.30,1658.40,1667.60,1679.90,1685.90,1711.90,1744.70,1769.40,1779.90,1797.00,1788.70,1804.20,1821.00,1832.10,1841.60,1803.30,1714.80,1882.20,1879.60,2001.30
Transportation and warehousing,915.90,927.80,938.90,938.00,963.10,973.10,972.30,983.80,993.10,1000.50,994.90,1006.30,1010.60,991.00,961.90,947.60,894.10,861.30,875.10,881.10,887.40,909.00,945.50,961.50,965.90,975.10,984.80,996.50,1002.00,998.50,993.30,1014.40,1011.60,1021.50,1017.30,1033.30,1048.30,1065.80,1078.70,1106.20,1093.90,1092.50,1105.90,1098.70,1093.20,1095.40,1109.20,1122.50,1137.90,1147.90,1151.40,1152.50,1167.50,1185.20,1197.90,1207.40,1208.40,1210.10,1217.30,1226.30,1185.70,912.40,1033.40,1078.30,1125.90
Information,1105.30,1115.80,1133.30,1139.90,1161.30,1166.50,1181.40,1198.60,1205.80,1212.80,1218.90,1227.20,1248.60,1261.20,1261.60,1224.70,1206.60,1218.80,1223.10,1249.10,1263.70,1270.10,1288.90,1293.90,1307.10,1330.60,1348.20,1350.80,1365.60,1377.00,1381.60,1406.00,1405.00,1414.50,1444.90,1465.00,1480.00,1499.90,1513.90,1535.00,1550.00,1573.40,1595.20,1648.10,1672.80,1678.10,1698.30,1702.10,1734.30,1740.20,1769.10,1791.40,1827.80,1859.60,1889.00,1909.40,1936.90,1975.10,2004.60,2018.20,2001.20,1957.10,2036.70,2094.50,2192.50
"Finance, insurance, real estate, rental, and leasing",4581.00,4665.40,4772.70,4786.80,4827.20,4817.10,4827.40,4862.20,4877.40,4932.40,4930.20,4997.40,4869.40,4923.40,4860.00,4716.30,4727.00,4799.00,4712.50,4676.10,4716.40,4750.30,4772.90,4855.90,4874.00,4844.60,4835.00,4843.10,4984.60,4986.10,5054.50,5122.00,5135.90,5161.90,5158.70,5213.40,5266.80,5303.10,5348.20,5407.40,5446.80,5494.00,5504.60,5552.60,5546.00,5585.70,5612.80,5621.80,5670.60,5687.00,5724.00,5770.40,5798.90,5814.50,5830.50,5861.00,5910.50,5930.20,5965.50,6007.90,6018.90,5918.20,6047.70,6121.00,6277.20
